id,x,y,attribute,weight,prediction
0.0,439303.40625,5423741.5,3.9439227581024161,1.0,0.0
1.0,439243.40625,5425061.5,3.9447305202484126,1.0,0.0
2.0,438963.40625,5422331.5,3.8609623908996578,1.0,0.0
3.0,445313.40625,5420911.5,4.5394186973571777,1.0,0.0
4.0,441003.40625,5425861.5,4.256617546081543,1.0,0.0
5.0,442193.40625,5420071.5,4.2697663307189933,1.0,0.0
6.0,440633.40625,5424321.5,3.9503204822540279,1.0,0.0
7.0,441683.40625,5421271.5,6.1282916069030762,1.0,0.0
8.0,443933.40625,5426111.5,5.5118012428283691,1.0,0.0
9.0,440193.40625,5422701.5,3.87183666229248,1.0,0.0
10.0,443663.40625,5424731.5,4.4011039733886719,1.0,0.0
11.0,439683.40625,5423361.5,3.6750268936157222,1.0,0.0
12.0,444723.40625,5423051.5,4.7572636604309091,1.0,0.0
13.0,439723.40625,5426401.5,3.8102736473083496,1.0,0.0
14.0,438993.40625,5421241.5,3.8788042068481441,1.0,0.0
15.0,444293.40625,5420961.5,5.69156789779663,1.0,0.0
16.0,438613.40625,5424291.5,3.9401469230651855,1.0,0.0
17.0,442853.40625,5420051.5,4.2169523239135742,1.0,0.0
18.0,439713.40625,5426521.5,3.6732690334320073,1.0,0.0
19.0,442423.40625,5424511.5,3.9141557216644287,1.0,0.0
20.0,441183.40625,5421321.5,6.6518940925598145,1.0,0.0
21.0,439353.40625,5426511.5,3.5855014324188232,1.0,0.0
22.0,444883.40625,5420641.5,4.3306474685668963,1.0,0.0
23.0,443073.40625,5422511.5,3.9187724590301514,1.0,0.0
24.0,441553.40625,5424181.5,4.2723937034606925,1.0,0.0
25.0,442873.40625,5420471.5,4.4819235801696777,1.0,0.0
26.0,443463.40625,5419301.5,4.2580499649047852,1.0,0.0
27.0,438983.40625,5425111.5,3.8172023296356201,1.0,0.0
28.0,438453.40625,5422051.5,3.5889892578125,1.0,0.0
29.0,442643.40625,5426031.5,4.5056209564208975,1.0,0.0
30.0,443213.40625,5427791.5,5.9678454399108896,1.0,0.0
31.0,443833.40625,5419691.5,4.0543766021728516,1.0,0.0
